bib #,format,reserve #,url,availability type,owned copies
bib #,format,reserve #,url,availability type,owned copies
bib #,format,reserve #,url,availability type,owned copies
b11344868a,Online Video,0D9BB5CF-5275-4A6D-832F-9F6F5292925C,https://link.overdrive.com/?websiteID=89&titleID=84758,Normal,0
b11344869a,Online Video,486CD962-B7DA-4273-A648-C1107C4D7922,https://link.overdrive.com/?websiteID=89&titleID=84168,Normal,0
b11344873a,Online Video,58C7CAC7-EF5B-45B7-B6A2-4BBB490EF9D5,https://link.overdrive.com/?websiteID=89&titleID=96247,Normal,0
b11344875a,Online Video,46CC1DF1-F9AD-4AA1-9373-B15A243B9148,https://link.overdrive.com/?websiteID=89&titleID=96249,Normal,0
b11344878a,Online Video,7CFF2C60-12C5-44D5-842A-3A49D4FB1CC3,https://link.overdrive.com/?websiteID=89&titleID=84799,Normal,0
b11344879a,Online Video,B0BBE762-45F4-480B-94EC-A25A5E7E7A3A,https://link.overdrive.com/?websiteID=89&titleID=84489,Normal,0
b11344880a,Online Video,41FB49FB-0557-4A45-90B7-C139ECF0EDD6,https://link.overdrive.com/?websiteID=89&titleID=84492,Normal,0
b11344881a,Online Video,6B8488E8-DF35-4490-BB11-E0A50A2C4D1F,https://link.overdrive.com/?websiteID=89&titleID=84494,Normal,0
b11344882a,Online Video,AD192DBA-F17B-4FB7-85AA-8FD45A1FC4AD,https://link.overdrive.com/?websiteID=89&titleID=84508,Normal,0
b11344883a,Online Video,C580407F-61AB-497B-9FE3-759498081A60,https://link.overdrive.com/?websiteID=89&titleID=84513,Normal,0
b11344884a,Online Video,45FA656F-C9B7-4C78-B33E-3541EB3813CB,https://link.overdrive.com/?websiteID=89&titleID=84514,Normal,0
b11344885a,Online Video,C6510E03-1921-4037-ACEB-3ACAC5D56EE3,https://link.overdrive.com/?websiteID=89&titleID=84515,Normal,0
b11344886a,Online Video,7E4FF85A-633D-42BE-9869-75B50FBD20A8,https://link.overdrive.com/?websiteID=89&titleID=84429,Normal,0
b11344887a,Online Video,382A3C48-EFDF-426F-B6FF-492DE335DB14,https://link.overdrive.com/?websiteID=89&titleID=84406,Normal,0
b11344888a,Online Video,F0E66466-15F8-42E1-A390-93DE89CA2171,https://link.overdrive.com/?websiteID=89&titleID=84794,Normal,0
b11344889a,Online Video,88C0C91C-B582-47F1-89D5-DBC157FB2FFA,https://link.overdrive.com/?websiteID=89&titleID=84446,Normal,0
b11344890a,Online Video,313D05E7-E5E9-4B5F-915B-BC94DE237EBC,https://link.overdrive.com/?websiteID=89&titleID=84535,Normal,0
b11344891a,Online Video,4A1539EC-FD53-44E6-8CF2-9903B5B11492,https://link.overdrive.com/?websiteID=89&titleID=84545,Normal,0
b11344892a,Online Video,95B4D208-0B8E-44AA-BB23-94E3DEE5F234,https://link.overdrive.com/?websiteID=89&titleID=84551,Normal,0
b11344893a,Online Video,B23C2595-4027-49C5-AB33-91E4C8FEE690,https://link.overdrive.com/?websiteID=89&titleID=84555,Normal,0
b11344896a,Online Video,ED39BCAF-06ED-4A55-85C3-C064A6451442,https://link.overdrive.com/?websiteID=89&titleID=84824,Normal,0
b11344897a,Online Video,EAFF09BB-8725-45FE-82D7-3BB318F9053A,https://link.overdrive.com/?websiteID=89&titleID=84834,Normal,0
b11344898a,Online Video,299D56FF-73AF-4DC9-93FC-E0C734C6B6A3,https://link.overdrive.com/?websiteID=89&titleID=84627,Normal,0
b11344903a,Online Video,889B82F8-3F2D-4975-836D-D805B5CFB660,https://link.overdrive.com/?websiteID=89&titleID=84359,Normal,0
b11344904a,Online Video,BED2D92C-0AAF-487E-B7FB-4B222F3106B5,https://link.overdrive.com/?websiteID=89&titleID=84360,Normal,0
b11344905a,Online Video,D5832591-4BC7-45F1-A8DB-8F56C6A819A6,https://link.overdrive.com/?websiteID=89&titleID=84361,Normal,0
b11344906a,Online Video,37AD4817-126C-4755-8EC3-FC910BBB06C6,https://link.overdrive.com/?websiteID=89&titleID=84362,Normal,0
b11344908a,Online Video,599484AF-99D8-4DAB-BE4B-A0B0E9BA63D6,https://link.overdrive.com/?websiteID=89&titleID=84371,Normal,0
b11344909a,Online Video,F69B740B-AFBF-4F42-8DD3-440C52D87316,https://link.overdrive.com/?websiteID=89&titleID=84781,Normal,0
b11344910a,Online Video,E70E9FA7-B96C-476C-94FF-BF30D2C75E71,https://link.overdrive.com/?websiteID=89&titleID=84783,Normal,0
b11344911a,Online Video,9D47DDC6-D77F-40FF-ADEB-DE846435C007,https://link.overdrive.com/?websiteID=89&titleID=84447,Normal,0
b11344912a,Online Video,69559039-55BB-4656-B28F-D9F045138AA0,https://link.overdrive.com/?websiteID=89&titleID=84448,Normal,0
b11345107a,Online Video,EB44BE68-9B6F-48BD-9EA6-EE6F24167DAE,https://link.overdrive.com/?websiteID=89&titleID=84522,Normal,0
b11345108a,Online Video,275C34E3-41B0-40BE-B748-10A783D7BAFC,https://link.overdrive.com/?websiteID=89&titleID=84616,Normal,0
b11345109a,Online Video,ACC23045-A0B5-45D0-887E-423FFDC1C218,https://link.overdrive.com/?websiteID=89&titleID=84618,Normal,0
b11345110a,Online Video,62AE63EB-C30F-4517-9724-B89257AB7765,https://link.overdrive.com/?websiteID=89&titleID=84619,Normal,0
b11345111a,Online Video,9C906963-6577-4BF4-85F1-127C7EE974BF,https://link.overdrive.com/?websiteID=89&titleID=84620,Normal,0
b11345136a,Online Video,639092C9-9D09-428B-9F9E-B090CCED1F5A,https://link.overdrive.com/?websiteID=89&titleID=84622,Normal,0
b11345137a,Online Video,5093D304-3982-4CE2-8CF7-85D0D6E1BC51,https://link.overdrive.com/?websiteID=89&titleID=84623,Normal,0
b11345138a,Online Video,B622A3FB-B4D7-44B5-B034-8CD698B43B9B,https://link.overdrive.com/?websiteID=89&titleID=84628,Normal,0
b11345139a,Online Video,C5CF163A-76F0-4576-A110-581AB7449430,https://link.overdrive.com/?websiteID=89&titleID=84670,Normal,0
b11345140a,Online Video,9C256BD5-9BDA-49AB-82F9-E8A0F6CC60F8,https://link.overdrive.com/?websiteID=89&titleID=84884,Normal,0
b11345141a,Online Video,EE2E9066-CF65-4771-BB28-C51D0FB6E356,https://link.overdrive.com/?websiteID=89&titleID=84895,Normal,0
b11345142a,Online Video,DF763B7E-F328-41C5-964B-A8819874B6A3,https://link.overdrive.com/?websiteID=89&titleID=84899,Normal,0
b11345143a,Online Video,13EB8B83-2A8C-4C47-ACD3-F1166B91F033,https://link.overdrive.com/?websiteID=89&titleID=84961,Normal,0
b11345166a,Online Video,14EAD444-4F0C-47AA-941A-D56C851755CC,https://link.overdrive.com/?websiteID=89&titleID=96240,Normal,0
