b121410006,b121410006,24E35BBE-1388-4423-B40F-0C7B0C34AD21,24E35BBE-1388-4423-B40F-0C7B0C34AD21,on1035846470,on1035846470,z,z
b121410195,b121410195,7F63F6C4-ECC3-4F2A-A01A-8534277CFAF5,7F63F6C4-ECC3-4F2A-A01A-8534277CFAF5,on1042560986,on1042560986,z,z
b123005814,b123014785,170A488A-AF85-4D8F-992E-3338EE10B869,170A488A-AF85-4D8F-992E-3338EE10B869,on1155048799,on1155048799,x,x
b123004299,b123013264,7F1772F5-0BEE-4D65-8AD7-C8115EC109A9,7F1772F5-0BEE-4D65-8AD7-C8115EC109A9,on1039301014,on1039301014,x,x
b122803346,b123091585,78EAB8C1-289F-49AD-83D5-D16F3E793024,78EAB8C1-289F-49AD-83D5-D16F3E793024,on1139708389,ODN0005181212,x,x
b119448233,b123298271,68128C79-AEBA-43A0-AC71-E0DA4C7DB225,68128C79-AEBA-43A0-AC71-E0DA4C7DB225,ocn944505564,ODN0002619131,x,x
b11890582x,b123253457,070E3761-71E9-4A99-9C97-3ED43328C9C5,070E3761-71E9-4A99-9C97-3ED43328C9C5,ocn881814767,ODN0001766869,x,x
b116568355,b119388881,452C0134-C397-4F04-BFE0-C98EB55E587E,452C0134-C397-4F04-BFE0-C98EB55E587E,ocn776857471,ocn776857471,x,x
b122961845,b123090957,05E84E41-4864-4FAB-AB79-BF742A7D5F7E,05E84E41-4864-4FAB-AB79-BF742A7D5F7E,on1035415190,ODN0002725429,x,x
b12299985x,b12300777x,7B206499-67A5-481D-AD9C-FBC0AA67509D,7B206499-67A5-481D-AD9C-FBC0AA67509D,on1159001563,on1159001563,z,z
b123001249,b123009194,E7535DE7-842D-44F9-B04A-52DCD7636D79,E7535DE7-842D-44F9-B04A-52DCD7636D79,on1158539716,on1158539716,z,z
b122072194,b123132502,351C0E5C-BF33-4380-9402-DAA551CA3585,351C0E5C-BF33-4380-9402-DAA551CA3585,on1048659067,ODN0003962213,x,x
b122164544,b123083278,D5932E39-B48A-4F84-BAF7-F021F73B4B4E,D5932E39-B48A-4F84-BAF7-F021F73B4B4E,on1027964319,ODN0003318444,x,x
b122504392,b123059598,53F0EAB4-D189-4108-9ED1-A0ACBB87CA46,53F0EAB4-D189-4108-9ED1-A0ACBB87CA46,on1039718267,ODN0004045402,x,x
b122945013,b123133154,37F2B4E0-861E-4A4F-BD10-9B776AF523E4,37F2B4E0-861E-4A4F-BD10-9B776AF523E4,ocn900087640,ODN0002075414,x,x
b119275910,b123247573,E0E43930-6E34-433F-8BF2-CBA387BECD18,E0E43930-6E34-433F-8BF2-CBA387BECD18,ocn809667217,ODN0000484492,x,x
