isbn,controlNo_int,bibNo,sierraFormat_int,sierra_status,controlNo_ext,overdriveNo,sierraFormat_ext,_merge
,,,,,odn0000562043,BC9500D5-04A9-45AB-8DFD-C8601DC55522,z,right_only
,,,,,odn0000637969,2C93B9E5-CD77-45C3-AEE3-CE616424125A,z,right_only
,,,,,odn0000685474,B7E11464-38A1-4B18-9956-2FA9CCE49E5C,z,right_only
,,,,,odn0000530382,051E0A97-9EA7-49D3-AFC2-8F598235E755,z,right_only
,,,,,odn0000562063,D656A663-8A51-473C-8155-21FEDC5FFA20,z,right_only
,,,,,odn0000637915,A2EB9DAC-9DF9-4CF2-9F16-4D3614527C7F,z,right_only
,,,,,odn0000637947,7A4265DC-B920-44B3-ACD2-F07AE7354596,z,right_only
,,,,,odn0000637974,070D9320-858A-4DA9-AACD-4B47AC1B8093,z,right_only
,,,,,odn0000562099,9D0970B1-565B-422D-842F-6EC632C6C6B4,z,right_only
,,,,,odn0000589512,8103D4BB-EB4A-4E5D-8A6E-A5664E802107,z,right_only
,,,,,odn0000562158,50C7D60F-622F-4C26-BC03-47E6051DDBD0,z,right_only
,,,,,odn0000602874,BEBC862C-3A87-4EE0-9311-7416456F318D,z,right_only
,,,,,odn0000637982,D808F0BE-6BFE-49F5-B5A8-401565CC9AA3,z,right_only
,,,,,odn0000644852,BC40C0D3-789C-4EE5-93DF-3870321B2AC2,z,right_only
,,,,,odn0000504894,B178CEEE-CE62-48C0-9EDF-BF85320EC089,z,right_only
,,,,,odn0000316962,A8EDAB03-47FB-44E4-9368-4281A3C7AB0C,z,right_only
,,,,,odn0000716788,D3F71390-89EC-4DCC-8F93-CF1D4F7BC8BD,z,right_only
,,,,,odn0000716614,EEA8F1E4-CC14-43EF-B197-AA76667B1A89,z,right_only
,,,,,odn0000113109,B62D73D1-1D5F-4074-AFF9-F73AE6C75D02,z,right_only
,,,,,odn0000569925,2D58A85F-A008-4EC4-B490-83E626706488,z,right_only
,,,,,odn0000540892,F828D748-182A-4297-B787-B66567497F29,z,right_only
,,,,,odn0000470683,BFE5A4F6-2349-497D-BABA-1B9A0A971068,z,right_only
,,,,,odn0000351523,6AA929BE-39AC-4E3E-AD7F-995374614CD7,z,right_only
,,,,,odn0000489910,556AACDA-86BD-442A-AFCA-04F08EDA07F0,z,right_only
,,,,,odn0003390577,FDC5265A-C506-4F0D-969C-FC3FA1B7A650,z,right_only
,,,,,odn0000133386,873CA882-20C8-464A-96EF-B15E48D93711,z,right_only
,,,,,odn0000347587,A14F0BB6-F1AE-4D2E-8BF4-7E9F722C4512,z,right_only
,,,,,odn0000648598,EF92C75E-B47E-4EAA-A393-77BB9787CD42,z,right_only
,,,,,odn0000581421,D0ABE970-72B7-4610-B69C-1856F9E79727,z,right_only
,,,,,odn0000190726,A5A271A0-F42F-4699-964A-411490958169,z,right_only
,,,,,odn0000216975,622FA407-730C-420A-8934-0CD3C9368459,z,right_only
,,,,,odn0000536528,C80C6F24-9B85-49A1-826B-58B265211191,z,right_only
,,,,,odn0000564552,11C3DA8F-91FC-4575-8370-4A157C3AA99F,z,right_only
,,,,,odn0004773108,35CABF59-209B-453A-8281-E6FF2268F1B7,z,right_only
,,,,,odn0003471414,42A98814-1861-49C6-8988-33C4B4BF403F,z,right_only
,,,,,odn0000588276,37DD4329-8AC1-4DA2-AE63-C4F32E1BC432,z,right_only
,,,,,odn0000635956,A787547E-1295-4293-B2F0-494B706D1B6F,z,right_only
,,,,,odn0002554157,424B4B68-2514-403C-BFFC-8AAF8C9AFFA8,z,right_only
,,,,,odn0002554164,80DCF310-02CF-45D2-9DBC-BE8EAA6CCA0D,z,right_only
,,,,,odn0002554167,7C005394-00CB-4A4F-A8D1-8D60BE92835A,z,right_only
,,,,,odn0002554188,CB694A16-CF9B-4505-A106-21369780754E,z,right_only
,,,,,odn0002554191,64DA76CB-EBFD-4DD5-BB3A-B5A569E94CD0,z,right_only
,,,,,odn0002554289,74AE1A71-35F8-4EAA-B884-6C1C60F2271D,z,right_only
,,,,,odn0002554292,2F1699AE-7C40-4A99-9EB1-3350899121B9,z,right_only
,,,,,odn0002554295,3770B2D7-7F53-4928-837C-3D3A3EA7953E,z,right_only
,,,,,odn0002554318,930AF3B5-97F3-4A29-8E06-5EF021451BB2,z,right_only
,,,,,odn0002554324,A7BC0FCF-40B0-4CCA-90D3-712EE427182E,z,right_only
,,,,,odn0002554373,261AB8BF-909B-4B3B-AB18-054F22021541,z,right_only
,,,,,odn0002554416,ED688461-6E83-4DB2-BD35-3C7F9D640E04,z,right_only
,,,,,odn0002554418,59931584-D960-44FA-8776-EF00D7CB62D1,z,right_only
,,,,,odn0002554419,FC09567C-942C-4B8E-ABB7-2E2BEA6343EB,z,right_only
,,,,,odn0002554420,DE597389-17AF-4D32-8A03-4F9845A70B26,z,right_only
,,,,,odn0002554425,68345172-B013-4364-9137-C93F77CC2D23,z,right_only
,,,,,odn0002554558,A2F60877-9E66-4249-AFF9-9236BCAE11F6,z,right_only
,,,,,odn0002554617,D6B4DBD0-91AF-4592-BC64-1DFB04D88702,z,right_only
,,,,,odn0000543900,DE51A00D-2E2E-45C5-98CE-6C9B5989373C,z,right_only
,,,,,odn0000709744,062F6208-0E61-451A-B541-CF45CCD63BD5,z,right_only
,,,,,odn0000642737,10518995-03C9-4B0B-9BCA-AA40F1BC9F03,z,right_only
,,,,,odn0000575009,E30A1C7C-A652-4FBD-AA4B-7EC6F4BECFA1,z,right_only
,,,,,odn0000570819,C9184453-972A-4258-9EA5-8C86435D7735,z,right_only
,,,,,odn0000569099,B5B590F0-508C-4ABC-B09D-CDC1279AFA61,z,right_only
,,,,,odn0000658563,BD78ECC7-193D-4CF1-AEBF-7CCB1499F1E8,z,right_only
,,,,,odn0000592929,855FF447-985B-4431-A6DC-2029462B4B43,z,right_only
,,,,,odn0002048021,E5403BCA-70B3-447B-B061-A6A11C121A92,z,right_only
,,,,,odn0000584235,F5DA3450-446F-4F91-A0F3-2679A94CE08A,z,right_only
