overdriveNo,overdriveControlNo,sierraFormat_ext,overdriveNoSrc,bibNo,sierraControlNo,sierraControlNoSrc,sierraFormat_int,sierra_status
BF31A63E-D5DE-400E-A9A1-DB47F4F3B801,ODN0002009701,x,037,b11881770x,ocn914905132,OCoLC,x,n
125557F5-A7D1-421D-88CE-A875FBF725E9,ODN0002534908,x,037,b120034748,ocn934806573,,x,n
E15EF7CA-496B-4D99-BEBA-EF753CAE4326,ODN0000710516,x,037,b118687220,ocn891839056,OCoLC,x,n
2F684683-CD78-4D77-A245-C00AC85027A1,ODN0001895470,x,037,b118684395,ocn906027991,OCoLC,x,n
7405E4FC-B642-4C25-8DC0-E6D38F6F6C30,ODN0001895480,x,037,b118622122,ocn906815721,OCoLC,x,n
755CF9A0-8E4C-49CC-8EB6-35A9D7E0EE02,ODN0001944498,x,037,b118621920,ocn906814812,OCoLC,x,n
7398E862-B70A-4EBE-8B00-BE0F65359511,ODN0002185169,x,037,b118801843,ocn907539461,OCoLC,x,n
58DD9A60-0DBC-42D3-AE52-DCCB8A5B6566,ODN0000523313,x,037,b11631266x,ocn754228180,OCoLC,x,n
591BA34C-AC07-4D6B-810A-3E217DCB3DC7,ODN0002962657,x,037,b120502331,ocn990145752,,x,n
856F1BCE-B752-41C9-A561-A9F027822D4C,ODN0000625658,x,037,b116443704,ocn759582000,OCoLC,x,n
DC2C1421-6942-4F00-B628-BC57DF2436A0,ODN0001713309,x,037,b117990747,ocn878979504,OCoLC,x,n
8F8308CC-3ECF-4FD7-8C70-AD659B57EFBB,ODN0001766859,x,037,b118032598,ocn881681674,OCoLC,x,n
D22A4096-403E-404B-A829-C8687DB76F2B,ODN0001714216,x,037,b11800704x,ocn878980462,OCoLC,x,n
83981CC0-DA03-44A9-915A-2CB7AD85EE34,ODN0001960694,x,037,b118268284,ocn891820038,OCoLC,x,n
8690CA5F-5C4D-41E5-8B46-0C897BD13279,ODN0001712640,x,037,b117997353,ocn878980557,OCoLC,x,n
E76AB498-289C-44BE-B266-3C96E2FEBFB4,ODN0001712774,x,037,b117999738,ocn851774383,OCoLC,x,n
C07B1FF3-0F9D-474C-B5DB-2F4308AB4587,ODN0001713340,x,037,b118001048,ocn878980879,OCoLC,x,n
13AE63EA-B3AE-4DE2-8815-02EDACB2F022,ODN0002147887,x,037,b119132102,ocn930874142,OCoLC,x,n
1F46BF91-095F-4B04-BB4E-4FCAC88D3C7E,ODN0001261699,x,037,b118860306,ocn841338458,OCoLC,x,n
E48D1C32-FDC5-4F77-BCF4-33A62F63B139,ODN0000056568,x,037,b112414916,ocm56554714,OCoLC,x,n
39F6FF05-1C89-4CBD-89F1-BD7088D3C62D,ODN0000574463,x,037,b116437534,ocn643713950,OCoLC,x,n
9B8A704F-8D24-4C65-B900-CD923985B8B8,ODN0001743014,x,037,b118450621,ocn883295144,OCoLC,x,n
94AF5624-B837-4AE4-A953-32CF691B70A3,ODN0001743100,x,037,b11845061x,ocn883344778,OCoLC,x,n
51BC9F78-40B0-4492-B243-656AE2A423CB,ODN0001743142,x,037,b11841558x,ocn883347610,OCoLC,x,n
54690C8D-ED78-487F-A8FB-944E4588BCE8,ODN0002192363,x,037,b118713085,ocn908765996,OCoLC,x,n
075D88C3-6855-42BB-99B3-29436B0A4ED2,ODN0002715838,x,037,b120052088,ocn967513452,,x,n
89600F18-A502-44DE-98CC-3008DCBF085C,ODN0002013136,x,037,b118463445,ocn900196515,OCoLC,x,n
9B8CB154-8387-4898-9F7D-7560FE51A33B,ODN0001142576,x,url,b118902817,ocn539056804,OCoLC,x,n
4D149EA8-9DE4-4485-8133-5C867A06219C,ODN0000676782,x,037,b118725968,ocn643340558,OCoLC,x,n
30EA19CA-68BE-4AC1-996E-F505FE88A733,ODN0000333540,x,037,b115949069,ocn680283193,OCoLC,x,n
B73AE6CE-318D-4D74-A76F-4668DBFBB90F,ODN0002159444,x,037,b118860793,ocn884646172,OCoLC,x,n
