overdriveNo,overdriveNoSrc,bibNo,sierraControlNo,sierraControlNoSrc,sierraFormat_int,sierra_status,overdriveControlNo,sierraFormat_ext,_merge
C6E9B9ED-6926-4F51-9502-ABED8401A727,url,b113085035,ocm70687213,OCoLC,z,-,,,left_only
3A794E79-5A6D-4365-B961-5DDFF866F1B9,url,b113085059,ocm71778227,OCoLC,z,-,,,left_only
1CE6171D-5383-450E-A94E-FDD86ABE8707,url,b113085072,ocm71787147,OCoLC,z,-,,,left_only
6CB6D8BE-76F3-4558-AB61-05AF4EA79341,url,b113085151,ocm73673618,OCoLC,z,-,,,left_only
4656D683-51B6-4A3E-B800-DDEE9CDEA6DC,037,b113105617,ocm74150179,OCoLC,x,-,,,left_only
79659FB2-234A-4615-948E-844A100FC4FC,url,b113445659,ocm67839124,OCoLC,z,-,,,left_only
C48FF08C-9569-4BF8-A4EE-559FFE035341,url,b113446421,ocm75398562,OCoLC,z,-,,,left_only
52253896-730A-44F9-89B0-F954E7A1F5E7,url,b113741492,ocn174539874,OCoLC,v,-,,,left_only
8067C4E8-8151-4A5A-985D-585C985F18EF,url,b113741510,ocn174547952,OCoLC,v,-,,,left_only
FB6C311D-5A46-4D24-9967-C781082EEBE7,url,b113741583,ocn174942079,OCoLC,v,-,,,left_only
750D745D-63AD-486F-96A6-8C0A7694DC96,url,b113741595,ocn174946256,OCoLC,v,-,,,left_only
B648C5D0-28A0-4472-B197-75A7B2BEE23A,url,b113741601,ocn174958539,OCoLC,v,-,,,left_only
CF7F3594-421A-4533-A62D-E6A996EFD6A7,url,b113741613,ocn174958608,OCoLC,v,-,,,left_only
AA1BA745-8A21-4F52-B8DA-5D0FE809D903,url,b113741625,ocn174958707,OCoLC,v,-,,,left_only
26B9FD85-7C2A-40BE-92BC-8CFB4FBF76E9,url,b113741637,ocn174958746,OCoLC,v,-,,,left_only
B6B6ACD8-AB3C-4804-A2E8-434CE4833E8D,url,b113741649,ocn174958809,OCoLC,v,-,,,left_only
D25E777F-6FBC-4B53-BBC0-59972340D25F,url,b113741650,ocn174962281,OCoLC,v,-,,,left_only
1D37E1AA-A412-473F-BE74-5994ADA83C06,url,b113741662,ocn174963501,OCoLC,v,-,,,left_only
AEA4DDBB-B512-4D0F-BC4B-905572F343DE,url,b113741674,ocn174963880,OCoLC,v,-,,,left_only
86DE855F-97B6-4423-A680-10F30BC71698,url,b113741686,ocn174963994,OCoLC,v,-,,,left_only
2C14BF46-C9F7-45B5-8D16-F03F0CCBEF9E,url,b113741698,ocn176630796,OCoLC,v,-,,,left_only
392E1167-2BB6-402A-9DCE-7DD3BB9C58ED,url,b113741704,ocn176631056,OCoLC,v,-,,,left_only
23D22B6E-AAE1-408A-B453-EAF2477D8A1F,url,b11374173x,ocn176631810,OCoLC,v,-,,,left_only
882D5AA8-3C8F-424C-A8CB-24A47644B03A,url,b113741741,ocn176632580,OCoLC,v,-,,,left_only
33AEAAB6-B15E-418E-AE5F-74D16E3C74E5,url,b113741753,ocn176632664,OCoLC,v,-,,,left_only
0A02995B-FEB5-472A-8C17-33EAE6BDC6F9,url,b113741765,ocn176632784,OCoLC,v,-,,,left_only
6BFDD9B1-7997-4298-92A4-E338325E026F,url,b113741777,ocn176633010,OCoLC,v,-,,,left_only
DD86C482-7189-4CEF-9FA7-BD626C358362,url,b113741789,ocn176634387,OCoLC,v,-,,,left_only
126495CF-B9DD-4046-93F1-F81C7B1F6120,url,b113741790,ocn176634507,OCoLC,v,-,,,left_only
8E23E3D8-449B-432F-BA04-41A652BAD0F9,url,b113741807,ocn176634602,OCoLC,v,-,,,left_only
A75779C7-7F76-41D1-BD14-A8FFA6081D28,url,b113741819,ocn176634848,OCoLC,v,-,,,left_only
8E8F57D6-1735-4FCF-8D52-115D8DD34659,url,b113741820,ocn176634934,OCoLC,v,-,,,left_only
36628B78-777C-4E1A-92F1-005CC84C8997,url,b113741832,ocn176635049,OCoLC,v,-,,,left_only
3A7A9CC8-0858-4E39-A249-51E83B7B0FC0,url,b113741844,ocn176635332,OCoLC,v,-,,,left_only
787AE4AF-6DC3-4C50-9FAF-331F18436566,url,b113741856,ocn176845962,OCoLC,v,-,,,left_only
53844E20-2C26-45AB-B865-BD4735B3BAC1,url,b113741868,ocn176851780,OCoLC,v,-,,,left_only
ABAB6621-5A94-4016-BE6C-B232B2F5FD8E,037,b113753032,ocn176905437,OCoLC,x,-,,,left_only
843E64C7-2537-4FBF-9326-56BBEA5E22FD,url,b113753652,ocn176858009,OCoLC,v,-,,,left_only
63396C30-6D6D-428D-876E-3E9EB8430402,url,b11375372x,ocn176874106,OCoLC,v,-,,,left_only
5F3F7056-7E81-45AA-BB23-5216F96659F9,url,b113790144,ocn124075927,OCoLC,z,-,,,left_only
89860A60-CC9F-4330-8786-C6E820DF60FB,037,b113851212,ocm62198025,OCoLC,x,-,,,left_only
3A1604EF-BD08-4134-A692-4742F7B2262B,url,b113885581,ocn191466041,OCoLC,v,-,,,left_only
C9E318E0-39EF-4D26-BECB-8BD6301F727B,url,b11388560x,ocn191478766,OCoLC,v,-,,,left_only
271186F8-0481-4749-A8F9-5F15E3D1F4B8,url,b113885635,ocn191533498,OCoLC,v,-,,,left_only
EF90E8A0-42B1-421C-9033-80EB201CBE89,url,b113885684,ocn191546980,OCoLC,v,-,,,left_only
ACDF1EE7-A7D4-4862-9EB3-4D932CF5A8A8,037,b113972210,ocn200286332,OCoLC,x,-,,,left_only
2C9A617D-289E-41CD-A93B-BE03D4C50D2C,url,b113972271,ocn203849246,OCoLC,x,-,,,left_only
D7EECD6A-6C46-400E-A382-6E8F9D629D6E,037,b113973056,ocm70005779,OCoLC,x,-,,,left_only
C0A524E4-F7A6-49E6-A934-DA25FF36A35A,url,b113973354,ocn213297341,OCoLC,z,-,,,left_only
41B815E4-1E92-496D-85F9-9DDE5DA56381,url,b114150254,ocn147952152,OCoLC,z,-,,,left_only
527FEE13-985A-482D-A316-73A48030569F,url,b114150266,ocn147952432,OCoLC,z,-,,,left_only
FD556AB1-3E57-4532-9443-FBC46B72D934,url,b114152275,ocn176842504,OCoLC,v,-,,,left_only
A69C9A9E-9B90-4305-8923-68415FAA8E00,url,b114153425,ocn222025398,OCoLC,z,-,,,left_only
BF7AF905-A3C6-4159-A5B6-B525A96D1F03,url,b114182097,ocn191733298,OCoLC,z,-,,,left_only
17C97F4F-2ADF-43D0-98F0-DA4FCB289758,url,b114182103,ocn191733511,OCoLC,z,-,,,left_only
621EEDD5-CDDF-40D7-A43B-89FE770D65BF,url,b114264478,ocn243779711,OCoLC,z,-,,,left_only
CD5D5624-A91C-44C8-8C97-BB163D285C63,037,b114381768,ocm44961541,OCoLC,x,-,,,left_only
11FDA48B-46AD-43B9-A7E1-166C951FA81C,037,b114755747,ocn233592430,OCoLC,x,-,,,left_only
389C5FE3-23E0-45C3-A9B5-36E44A4AA91D,url,b114855638,ocn122927389,OCoLC,z,-,,,left_only
FC9815ED-91EE-4230-A013-E34667C40429,url,b114855651,ocn122927566,OCoLC,z,-,,,left_only
BDE76150-8CF0-4B1A-9E84-C88913AD73E9,url,b11485595x,ocn147996774,OCoLC,z,-,,,left_only
43EDF376-C5F5-4DD3-B163-C5C94EE7DF62,url,b114856631,ocn214324042,OCoLC,z,-,,,left_only
BE4B12EB-92F4-4311-82B7-5C3DCE64416B,url,b114885096,ocn173191674,OCoLC,z,-,,,left_only
