isbn,controlNo_int,bibNo,sierraFormat_int,sierra_status,controlNo_ext,overdriveNo,sierraFormat_ext
9781488023330,ocn957317979,b119931096,x,-,odn0002914102,9CCDB580-4B9C-4F96-B039-AA927D662801,x
9781488026331,ocn962065516,b11993145x,x,-,odn0002996547,C42B68AF-79A5-46B0-AEC6-3D612097597D,x
9781429950039,ocn861512342,b119931795,x,-,odn0000511943,3BB8A134-F0D2-4ACD-BA9B-7C2298A25EAE,x
9780008135003,ocn899700271,b119931977,x,-,odn0002078848,30D1FC87-F33C-47A5-ADBA-5A80AE6D6163,x
9780307823793,ocn773366978,b120032387,x,-,odn0000590115,A8E8437B-56C5-4A81-B2E2-B424FE3907EB,x
9781459227507,ocn795526305,b120197467,x,-,odn0000786238,A84CAAFB-28EB-4BDE-8F70-D04E4277CFF1,x
9781628723632,ocn978246684,b120494991,x,-,odn0000676428,BEF11EB6-10DA-4DFD-A5E6-B600BD66587A,x
9780547719320,ocn773581614,b120786461,x,-,odn0000647554,62B388B5-9F03-458D-8865-FFD1B906D5A4,x
9781615951512,ocn778512199,b122167867,x,-,odn0000643353,7E5BF991-E3D5-4FC2-8D36-67E205A35401,x
9781590208922,on1036967162,b122186436,x,-,odn0002309702,0B21DE47-61E1-47EF-9384-63E6C953D302,x
9781423145905,ocn856416185,b12278229x,x,-,odn0000773245,9FF7F19A-5625-4613-91EB-0ABE399E0741,x
9781508103516,ocn967353499,b122823084,x,-,odn0003039969,83655C88-1739-44B5-8A10-94AA3BC5DAAC,x
9781632251138,on1155048744,b122913073,x,-,odn0005215823,0229FBF7-D898-414E-9D8D-8080656196B0,x
9780375989223,ocn664572271,b122922062,x,-,odn0000356360,16B8317F-3A2C-4EC3-BF68-5FB87FA3802F,x
9780141968902,ocn982184585,b122928064,x,-,odn0001028095,CF1B2EE1-5537-420D-8180-ADBE19704834,x
9781459809499,ocn939203656,b122942607,x,-,odn0002937205,1954D97B-4942-4767-8387-054270476822,x
9781459809505,ocn939203656,b122942607,x,-,odn0002937205,1954D97B-4942-4767-8387-054270476822,x
9785392026746,ocn799885988,b122979084,x,-,odn0000649802,E99DAA09-4586-4E56-B5D5-BF7629B3F9EE,x
9785392026746,ocn799885988,b123007264,x,-,odn0000649802,E99DAA09-4586-4E56-B5D5-BF7629B3F9EE,x
9781613980002,ocn779844690,b123182074,x,-,odn0000602471,042B04A3-BA8E-4C99-9ED1-A9788AC98B60,x
